App Id,Category
1436008834,Games
1303389751,Games
962892510,Social Networking
1045165396,Games
1436817009,Games
979401801,Utilities
1354918944,Games
470225328,Games
1302018227,Games
1415025083,Games
1278869953,Games
1176048946,Games
1202839666,Games
1433103489,Games
1236104279,Games
1153329252,Games
319881193,Social Networking
1444062497,Games
1345968745,Games
1438154014,Games
1277056784,Games
1423608757,Games
1292316109,Entertainment
1320296369,Games
1398987473,Games
1423527464,Games
1398702135,Games
1080465358,Sports
1123685874,Games
1344171057,Games
1093190533,Games
950949627,Games
1086101495,Entertainment
1229630187,Games
456355158,Games
1298839048,Games
1166542799,Entertainment
1414096275,Games
1323088931,Games
585528957,Games
1218756035,Games
1320056680,Games
1284844624,Games
1435807944,Games
1215026315,Games
1384410451,Games
1243426580,Games
650419312,Games
1375487394,Games
1321933151,Games
995336631,Games
1404418358,Games
1169979118,Games
601186099,Games
1367378998,Games
1355694041,Games
1434894823,Games
927006017,Games
1264620108,Games
1353429202,Games
1032985980,Games
1016876971,Games
1376833419,Games
1436060599,Games
1277823046,Entertainment
1161946025,Games
1229744015,Games
1418460739,Games
1436496652,Games
1401837582,Games
1058355648,Games
1358682660,Games
1225888584,Games
1260190370,Games
469329213,Lifestyle
911550133,Games
593567385,Utilities
1372750733,Games
1103238599,Games
398236050,Music
1076509805,Health & Fitness
332499574,Reference
1329893045,Games
1433904767,Games
1138271196,Entertainment
712908978,Photo & Video
1245180154,Games
650840620,Entertainment
1437051907,Entertainment
670766542,Photo & Video
1297903210,Utilities
295830095,Games
879406753,Games
1258251166,Games
586165296,Games
619814752,Weather
1312620714,Games
1197961218,Games
1116441101,Reference
1416569296,Games
1162622110,Games
1234637848,Productivity
901574501,Navigation
841415461,Games
448624691,Games
1317586193,Entertainment
1114613702,Games
434135994,Reference
1338784290,Games
1350788155,Entertainment
1096541212,Lifestyle
892333518,Games
517052455,Music
1277325019,Games
1044550527,News
1436136401,Games
1434230685,Games
1404229497,Games
573536821,Games
1036141497,Music
1213875863,Lifestyle
1438543683,Games
